CustomerID,Total_Quantity,Total_Revenue,Transactions,Unique_Products
14646.0,196915,280206.02,73,700
18102.0,64124,259657.3,60,150
17450.0,69973,194390.79,46,124
16446.0,80997,168472.5,2,3
14911.0,80240,143711.17,201,1787
12415.0,77374,124914.53,21,444
14156.0,57768,117210.08,55,714
17511.0,64549,91062.38,31,453
16029.0,40108,80850.84,63,44
12346.0,74215,77183.6,1,1
16684.0,50255,66653.56,28,119
14096.0,16352,65164.79,17,1119
13694.0,63312,65039.62,50,366
15311.0,38147,60632.75,91,567
13089.0,31025,58762.08,97,636
17949.0,30546,58510.48,45,29
15769.0,29672,56252.72,26,26
15061.0,28920,54534.14,48,70
14298.0,58343,51527.3,44,884
14088.0,12665,50491.81,13,379
15749.0,18028,44534.3,3,5
12931.0,28004,42055.96,15,28
17841.0,22834,40519.84,124,1323
15098.0,121,39916.5,3,1
13798.0,23948,37153.85,57,113
16013.0,15536,37130.6,47,30
16422.0,33704,34684.4,51,68
15838.0,18368,33643.08,19,54
12748.0,25287,33053.19,209,1768
17404.0,32748,31906.82,15,111
17389.0,7612,31833.68,34,45
13098.0,15968,28882.44,28,156
14680.0,13476,28754.11,16,73
13081.0,19068,28337.38,11,503
13408.0,16232,28117.04,62,234
17857.0,19256,26879.04,23,19
16333.0,32184,26626.8,22,9
13777.0,12897,25977.16,33,36
12753.0,11421,21429.39,6,132
12744.0,5241,21279.29,7,178
16210.0,7559,21086.3,18,74
17675.0,8360,20374.28,31,239
17381.0,25649,20275.61,29,40
12471.0,8200,19788.65,30,150
15039.0,9131,19766.59,47,408
12731.0,8437,18895.91,12,109
15159.0,11441,18641.010000000002,30,363
12901.0,23075,17654.54,28,30
12678.0,10923,17628.46,12,105
14031.0,5788,17286.86,19,119
17428.0,9474,17256.85,28,252
13767.0,7322,17220.36,37,55
13881.0,10118,17159.52,20,72
16839.0,8975,16594.35,34,114
12921.0,9526,16587.09,37,233
17677.0,9772,16345.38,30,178
15189.0,6149,16225.39,41,80
14607.0,11526,16209.5,14,38
15856.0,10866,16143.64,27,295
14051.0,3756,15610.390000000001,23,52
15513.0,5709,14758.220000000001,19,183
16133.0,8887,14589.04,33,219
14866.0,6752,14389.9,12,30
16705.0,5476,14034.99,20,133
12681.0,7536,13787.54,22,267
12621.0,7440,13689.67,20,261
12540.0,6685,13400.24,17,277
12433.0,11071,13375.87,7,219
15498.0,6105,13316.4,27,360
12477.0,3653,13219.74,6,191
17735.0,8439,13110.02,19,319
16525.0,7397,13027.45,26,75
14258.0,7100,12669.98,9,58
13078.0,5630,12627.94,26,95
12536.0,2803,12601.830000000002,3,260
15640.0,6572,12416.11,15,240
16000.0,5110,12393.7,3,9
17340.0,5967,12353.29,11,229
12682.0,5555,12279.82,31,209
13113.0,3045,12245.960000000001,24,95
14606.0,6187,12076.15,93,819
12557.0,4384,11990.960000000001,5,15
12939.0,4876,11581.8,8,21
15125.0,6193,11528.48,15,102
14194.0,5840,11349.52,21,269
12971.0,9289,11189.91,86,94
14895.0,4851,11138.710000000001,20,273
12409.0,5551,11072.67,3,91
17581.0,5915,11025.24,25,229
15482.0,5004,10879.76,12,46
13319.0,4724,10845.550000000001,26,209
17107.0,4826,10797.48,6,269
13340.0,5770,10736.48,7,128
17139.0,5176,10650.77,12,309
16779.0,5301,10611.720000000001,22,161
17865.0,5757,10526.32,20,191
17706.0,3899,10504.49,17,270
15251.0,6171,10484.99,11,97
14062.0,5593,10464.85,12,60
14769.0,7239,10416.98,8,718
15615.0,5508,10399.74,23,184
15502.0,4236,10384.93,12,164
16180.0,5867,10254.18,8,90
16843.0,10159,10196.57,16,226
12590.0,4283,9864.26,2,68
13199.0,6176,9817.12,38,48
13001.0,5490,9785.970000000001,13,166
15078.0,5105,9743.11,32,97
12709.0,3912,9706.52,15,93
13458.0,5508,9646.57,14,242
14733.0,3764,9585.91,12,102
16523.0,4265,9418.470000000001,21,151
12567.0,4305,9401.28,10,323
14367.0,4426,9227.82,16,270
14667.0,5319,9175.04,25,354
18092.0,4252,9068.26,11,28
12451.0,6575,9035.52,5,265
13969.0,4528,9024.17,18,334
13488.0,4518,8968.31,13,271
13090.0,2263,8910.82,14,98
16033.0,3529,8778.82,20,538
17017.0,6673,8694.26,20,88
17306.0,11491,8631.31,19,13
16656.0,8894,8625.8,15,14
17243.0,3320,8540.05,26,180
14527.0,2088,8507.13,55,330
12683.0,4987,8476.57,15,177
18139.0,5557,8438.34,6,35
15358.0,7050,8347.2,22,292
16558.0,5377,8338.49,20,264
14056.0,4252,8152.71,23,320
14936.0,4085,8137.02,8,210
16672.0,2832,8134.9400000000005,20,22
13854.0,2296,8109.5199999999995,25,39
14952.0,3355,8099.49,11,117
18109.0,4230,8004.92,26,119
14796.0,5995,7975.49,17,403
12428.0,3536,7956.46,9,258
15290.0,4501,7943.22,18,93
14849.0,5694,7930.54,25,159
12757.0,2395,7834.650000000001,13,237
13093.0,3961,7832.47,8,97
12435.0,2055,7829.89,2,31
13629.0,4372,7792.36,11,28
17811.0,4146,7761.82,39,359
15044.0,2785,7634.7300000000005,17,233
15194.0,5703,7616.53,15,209
18172.0,3184,7561.68,20,100
13263.0,4768,7436.93,35,450
12980.0,886,7374.900000000001,9,6
15465.0,1257,7354.62,18,43
17396.0,2005,7330.8,8,24
12474.0,4833,7324.09,18,253
12583.0,5060,7281.38,15,115
13018.0,5435,7277.7,28,313
18229.0,2488,7276.900000000001,20,66
16729.0,5722,7205.33,21,234
16745.0,6719,7180.7,17,148
16873.0,3840,7123.62,6,179
13324.0,5205,7121.95,10,25
16923.0,3344,7069.08,19,313
13985.0,3445,7060.13,15,108
14961.0,3708,7044.68,9,193
12766.0,3646,6989.63,7,205
12798.0,5256,6977.04,3,6
12989.0,2943,6924.110000000001,15,41
13027.0,17280,6912.0,6,6
16187.0,5048,6911.4400000000005,15,160
16713.0,4271,6910.78,15,338
17416.0,4302,6893.42,7,186
12705.0,3997,6868.29,9,228
12476.0,2408,6816.42,11,177
12830.0,9848,6814.64,6,13
15601.0,4983,6776.56,14,230
16652.0,3283,6773.97,7,74
18055.0,2452,6761.34,10,223
16532.0,2016,6748.8,3,2
15023.0,2827,6720.41,11,347
13576.0,2646,6717.34,18,78
15249.0,3577,6688.46,13,211
16746.0,4660,6680.11,18,234
16353.0,2006,6675.71,23,51
12626.0,3453,6620.48,9,232
16182.0,3791,6617.65,4,17
15144.0,3050,6580.44,17,132
12472.0,4148,6572.11,7,219
17338.0,3059,6493.54,8,389
18223.0,2948,6484.54,14,116
15694.0,1677,6479.4,14,42
13225.0,3416,6463.84,7,23
13102.0,4204,6424.09,24,140
12431.0,2896,6419.95,15,163
16814.0,2697,6416.7,21,122
13871.0,2806,6403.25,13,155
12359.0,1609,6310.03,4,214
13668.0,3722,6309.83,21,284
13709.0,3508,6307.650000000001,13,244
15005.0,4230,6295.37,28,360
16126.0,2125,6287.77,4,57
17315.0,3863,6281.23,38,256
14057.0,4873,6211.66,17,179
12357.0,2708,6207.67,1,131
14060.0,5386,6140.42,19,86
13418.0,3918,6127.43,18,223
15939.0,4728,6115.01,15,28
17509.0,3512,6083.64,8,75
14735.0,2264,6065.69,32,99
13097.0,2360,6003.22,10,214
12637.0,2994,6002.9,8,205
14101.0,6942,5976.79,6,15
15382.0,4012,5955.71,6,193
14944.0,2815,5900.25,12,101
13209.0,4253,5891.61,8,255
13534.0,2961,5870.08,25,119
14505.0,2739,5859.43,8,540
14415.0,2996,5855.57,13,283
13050.0,3748,5836.86,17,246
12720.0,4672,5781.73,25,211
15218.0,3329,5756.89,11,77
17686.0,2478,5739.46,7,205
13316.0,5508,5732.93,4,66
13178.0,3570,5725.47,11,95
16553.0,4600,5719.82,12,62
13468.0,2589,5704.97,37,184
14110.0,2445,5683.15,12,94
17716.0,3072,5655.99,11,171
13004.0,4822,5655.91,18,277
17049.0,2673,5655.03,9,201
18118.0,2865,5625.08,26,424
17757.0,3318,5593.39,30,275
12839.0,3807,5591.42,14,95
12481.0,3294,5579.82,10,150
14688.0,3584,5579.1,21,148
14049.0,3808,5578.72,4,348
16767.0,4423,5575.56,11,148
12539.0,2067,5568.35,4,157
16161.0,2583,5533.67,19,286
18225.0,3242,5504.96,12,150
16609.0,2420,5493.46,7,155
15805.0,3367,5488.18,17,220
16985.0,1832,5464.12,10,62
16265.0,2646,5447.0,9,164
18198.0,4074,5425.56,17,81
12490.0,3064,5417.93,10,131
17809.0,2057,5411.91,12,46
16701.0,6393,5398.3,13,99
17719.0,2466,5396.04,15,111
17850.0,1733,5391.21,34,21
16303.0,2659,5360.63,3,119
13269.0,3513,5343.28,15,177
17730.0,3576,5298.4800000000005,13,127
15150.0,3642,5291.33,10,282
17061.0,1526,5232.2300000000005,11,57
18226.0,3466,5228.05,11,141
12362.0,2229,5226.23,10,201
16258.0,2994,5203.51,5,111
13756.0,3188,5189.52,14,66
16191.0,3351,5180.52,13,65
15727.0,3063,5159.06,7,213
13599.0,3293,5149.92,21,171
17858.0,2694,5140.66,12,101
15903.0,2410,5126.76,7,46
13941.0,2364,5112.96,5,24
15046.0,3372,5090.42,15,147
16700.0,4024,5076.55,13,159
13139.0,2425,5064.94,7,132
12432.0,1801,5059.32,5,107
17602.0,4116,5054.42,6,335
15301.0,2751,5049.95,12,167
17426.0,3094,5037.26,6,179
15719.0,2718,5030.07,13,299
14755.0,2219,5010.28,11,128
14562.0,1815,5006.77,18,187
12444.0,1153,5005.46,5,138
14329.0,3087,4975.24,7,218
15032.0,2968,4959.1,3,29
12437.0,2922,4951.41,18,118
12700.0,2967,4939.99,4,193
14709.0,2484,4921.04,13,71
15786.0,3340,4919.0,3,257
15547.0,3999,4910.6,14,441
17133.0,2730,4892.240000000001,7,13
12664.0,1203,4881.88,9,10
12688.0,3028,4873.8099999999995,1,171
14292.0,1663,4871.93,9,64
17652.0,2509,4867.72,12,118
15738.0,2982,4812.42,16,46
13013.0,2224,4810.9400000000005,13,155
15298.0,3116,4799.9,12,115
15555.0,4427,4794.86,16,401
15187.0,1887,4777.18,16,61
17365.0,4749,4767.36,8,278
12955.0,3664,4757.16,11,81
14180.0,719,4748.52,25,112
15152.0,2704,4745.69,13,196
16722.0,5001,4730.81,13,96
17690.0,1769,4726.8,15,186
12714.0,3069,4708.86,5,216
14135.0,3850,4690.31,15,95
14191.0,3662,4684.76,13,145
15291.0,2103,4668.3,15,62
14189.0,3937,4654.08,15,176
14390.0,2133,4642.57,9,135
14159.0,4348,4630.35,11,501
14286.0,4338,4628.75,3,220
13802.0,2572,4599.42,3,55
15093.0,3760,4597.02,6,52
14004.0,2668,4582.64,7,102
16931.0,3134,4554.87,21,448
17068.0,2164,4552.14,21,116
17613.0,2490,4544.55,14,211
12484.0,2187,4527.32,6,256
13267.0,1969,4521.49,19,88
15299.0,2948,4507.01,7,7
12524.0,3699,4485.72,8,113
17975.0,1565,4483.26,13,189
14426.0,2699,4481.67,10,183
12627.0,2752,4478.53,7,162
17364.0,2692,4462.68,11,288
16984.0,2380,4459.52,2,354
13069.0,5873,4431.44,24,281
14085.0,3177,4421.29,18,272
15955.0,2135,4416.26,14,137
16626.0,2690,4413.1,17,86
15874.0,2534,4405.88,7,110
14534.0,2027,4397.3,18,331
12712.0,1062,4396.13,13,58
13505.0,2486,4393.63,4,182
12752.0,2262,4366.78,1,53
16945.0,2725,4345.5,19,137
14016.0,2125,4341.21,4,154
14800.0,3644,4331.79,12,246
17567.0,2632,4331.48,8,110
18251.0,7824,4314.72,1,16
12347.0,2458,4310.0,7,103
17937.0,1754,4301.22,7,19
15034.0,2413,4274.16,8,299
14422.0,2906,4263.64,6,189
12500.0,2678,4257.82,11,34
17419.0,1876,4226.57,12,155
14525.0,2637,4215.9,9,217
15804.0,2565,4206.39,13,170
15971.0,1717,4199.85,12,10
12747.0,1275,4196.01,11,42
14146.0,2437,4191.0,5,183
14277.0,1976,4188.0,3,195
12949.0,2381,4167.22,8,166
13384.0,2422,4151.93,7,123
15570.0,2063,4148.82,12,231
13988.0,3044,4147.96,6,188
12569.0,1801,4124.69,32,92
17920.0,2473,4119.5,17,407
16592.0,2927,4113.68,16,142
13555.0,2636,4098.88,4,128
16401.0,3882,4098.32,12,66
18041.0,3758,4097.37,21,285
16670.0,2556,4095.9,11,179
12749.0,1471,4090.88,5,160
14092.0,2066,4076.91,14,117
12449.0,1553,4067.29,4,118
17377.0,2038,4058.32,20,190
18087.0,3907,4055.7199999999993,2,2
14401.0,4507,4051.48,13,113
12656.0,1723,4051.17,5,89
16549.0,2294,4034.9,10,445
13815.0,2560,4027.36,4,132
15514.0,2098,4023.7200000000003,11,96
17940.0,9323,4020.04,10,6
12957.0,2549,4017.54,8,208
12867.0,4284,4009.34,7,240
12378.0,2529,4008.62,1,219
16186.0,3020,4006.94,12,87
12841.0,2720,3991.58,25,229
17001.0,2164,3989.57,11,75
15416.0,2090,3984.32,4,165
12779.0,2024,3981.36,8,88
12727.0,2098,3980.7,7,109
14547.0,2639,3974.75,8,198
14299.0,2149,3965.62,9,94
13523.0,1752,3964.88,5,157
15529.0,3455,3962.6,11,415
17611.0,2550,3961.12,15,440
13183.0,2208,3957.78,9,51
17769.0,1850,3957.43,10,200
17651.0,3112,3945.0,10,149
12473.0,2414,3928.0499999999997,5,140
17593.0,3089,3923.86,5,190
