Date,Quantity,Revenue,Transactions
2010-12-01,26818,58776.79,127
2010-12-02,31264,47629.42,142
2010-12-03,16158,46898.63,68
2010-12-05,16242,31364.63,88
2010-12-06,21619,54624.15,102
2010-12-07,25180,99553.85,84
2010-12-08,23041,45235.36,116
2010-12-09,19898,53548.19,107
2010-12-10,20973,59021.02,77
2010-12-12,10537,17125.65,44
2010-12-13,17701,37942.37,70
2010-12-14,20255,45167.56,90
2010-12-15,18453,30384.37,74
2010-12-16,29860,49114.14,121
2010-12-17,16935,45338.13,66
2010-12-19,3734,7410.47,23
2010-12-20,14914,26766.23,61
2010-12-21,15605,47279.89,55
2010-12-22,3080,6199.97,17
2010-12-23,5752,12071.91,27
2011-01-04,8630,16005.73,36
2011-01-05,19769,32630.27,55
2011-01-06,23124,40366.45,50
2011-01-07,17160,28836.59,53
2011-01-09,8125,15590.68,48
2011-01-10,12861,24553.07,39
2011-01-11,28437,68630.54,58
2011-01-12,10606,24664.579999999998,45
2011-01-13,10171,20612.79,44
2011-01-14,23139,47554.58,47
2011-01-16,4086,6976.39,25
2011-01-17,13375,29262.72,51
2011-01-18,82964,95947.73000000001,41
2011-01-19,17354,25874.57,35
2011-01-20,10475,21199.34,39
2011-01-21,15302,32636.55,39
2011-01-23,5200,10306.1,27
2011-01-24,11955,25494.49,53
2011-01-25,15538,28952.55,67
2011-01-26,10931,19855.92,56
2011-01-27,11266,23624.3,52
2011-01-28,9842,20064.35,40
2011-01-30,3383,6542.61,24
2011-01-31,13406,23628.71,62
2011-02-01,15814,29013.29,63
2011-02-02,9706,21162.12,63
2011-02-03,15712,23467.73,46
2011-02-04,12695,25135.84,52
2011-02-06,2036,3439.67,11
2011-02-07,9128,25922.97,42
2011-02-08,10100,20935.23,45
2011-02-09,7164,16682.63,29
2011-02-10,11876,14853.31,41
2011-02-11,10520,22853.6,45
2011-02-13,2723,5645.48,20
2011-02-14,13567,26668.91,42
2011-02-15,22669,39841.71,58
2011-02-16,16117,24863.85,63
2011-02-17,14413,26357.52,68
2011-02-18,9149,16184.42,39
2011-02-20,5218,9437.8,26
2011-02-21,21533,36311.4,38
2011-02-22,21893,32454.5,52
2011-02-23,13742,26859.5,63
2011-02-24,11891,22800.89,55
2011-02-25,10572,20595.19,49
2011-02-27,4823,9382.71,33
