Date,StockCode,Quantity,Revenue,Transactions
2010-12-01,10002,60,51.0,2
2010-12-02,10002,1,0.85,1
2010-12-03,10002,8,12.469999999999999,3
2010-12-05,10002,1,0.85,1
2010-12-06,10002,25,22.06,2
2010-12-07,10002,8,13.279999999999998,3
2010-12-08,10002,13,11.86,2
2010-12-09,10002,44,39.019999999999996,5
2010-12-10,10002,48,40.8,2
2010-12-13,10002,27,25.38,3
2010-12-14,10002,7,5.949999999999999,2
2010-12-16,10002,5,4.25,1
2010-12-17,10002,2,3.32,2
2010-12-20,10002,2,3.32,1
2011-01-05,10002,12,10.2,1
2011-01-06,10002,60,51.0,1
2011-01-07,10002,1,1.66,1
2011-01-11,10002,24,20.4,2
2011-01-13,10002,11,9.35,1
2011-01-16,10002,7,5.949999999999999,2
2011-01-17,10002,1,0.85,1
2011-01-18,10002,24,20.4,1
2011-01-19,10002,13,11.829999999999998,2
2011-01-20,10002,36,30.599999999999998,3
2011-01-23,10002,2,1.7,1
2011-01-24,10002,1,1.63,1
2011-01-25,10002,2,1.7,1
2011-01-30,10002,14,11.9,1
2011-01-31,10002,132,112.2,2
2011-02-04,10002,1,0.85,1
2011-02-13,10002,1,0.85,1
2011-02-17,10002,14,13.459999999999999,3
2011-02-22,10002,12,10.2,1
2011-02-25,10002,24,20.4,1
2011-03-01,10002,2,3.26,1
2011-03-04,10002,2,1.7,1
2011-03-07,10002,2,3.26,1
2011-03-15,10002,1,1.63,1
2011-03-17,10002,6,5.1,1
2011-03-20,10002,4,3.4,1
2011-03-21,10002,5,4.25,1
2011-03-25,10002,6,5.1,1
2011-04-01,10002,120,102.0,1
2011-04-03,10002,6,5.1,2
2011-04-15,10002,62,52.699999999999996,1
2011-04-18,10002,1,0.85,1
2011-02-27,10080,2,1.7,1
2011-06-21,10080,48,18.72,1
2011-06-30,10080,12,4.68,1
2011-07-05,10080,12,4.68,1
2011-07-26,10080,12,4.68,1
2011-08-01,10080,12,4.68,1
2011-08-02,10080,24,9.36,1
2011-08-03,10080,12,4.68,1
2011-08-22,10080,12,4.68,1
2011-09-05,10080,12,4.68,1
2011-09-08,10080,24,9.36,1
2011-09-19,10080,12,4.68,1
2011-09-27,10080,12,4.68,1
2011-10-10,10080,1,0.39,1
2011-10-13,10080,3,1.17,1
2011-10-25,10080,2,0.78,1
2011-11-02,10080,24,9.36,1
2011-11-11,10080,24,9.36,1
2011-11-14,10080,12,4.68,1
2011-11-18,10080,4,1.56,1
2011-11-21,10080,27,10.530000000000001,2
2010-12-03,10120,3,0.63,2
2010-12-08,10120,12,2.52,1
2010-12-10,10120,1,0.21,1
2011-02-20,10120,30,6.3,1
2011-03-04,10120,11,2.31,1
2011-03-07,10120,16,3.36,2
2011-03-30,10120,1,0.21,1
2011-05-15,10120,1,0.21,1
2011-05-17,10120,2,0.42,1
2011-07-07,10120,5,1.05,1
2011-08-02,10120,5,1.05,1
2011-08-22,10120,30,6.3,1
2011-09-04,10120,3,0.63,1
2011-09-20,10120,1,0.21,1
2011-09-27,10120,5,1.05,1
2011-09-28,10120,1,0.21,1
2011-10-03,10120,5,1.05,1
2011-10-23,10120,5,1.05,1
2011-11-02,10120,1,0.21,1
2011-11-04,10120,37,7.77,4
2011-11-20,10120,6,1.26,1
2011-11-22,10120,1,0.21,1
2011-11-30,10120,4,0.84,1
2011-12-04,10120,6,1.26,1
2010-12-03,10123C,1,0.65,1
2011-03-04,10123C,3,1.9500000000000002,1
2011-03-31,10123C,1,0.65,1
2010-12-06,10124A,4,1.68,1
2011-02-08,10124A,3,1.26,1
2011-03-17,10124A,4,1.68,1
2011-03-27,10124A,1,0.42,1
2011-11-06,10124A,4,1.68,1
2010-12-02,10124G,5,2.1,1
2011-03-17,10124G,4,1.68,1
2011-09-29,10124G,4,1.68,1
2011-11-06,10124G,4,1.68,1
2010-12-01,10125,2,1.7,1
2010-12-06,10125,3,4.17,2
2010-12-08,10125,40,34.0,2
2010-12-13,10125,21,10.06,2
2010-12-15,10125,80,33.6,2
2010-12-17,10125,1,1.66,1
2010-12-23,10125,7,5.67,1
2011-01-04,10125,15,12.15,1
2011-01-05,10125,1,0.81,1
2011-01-06,10125,60,25.200000000000003,2
2011-01-07,10125,22,10.020000000000001,3
2011-01-10,10125,43,19.23,4
2011-01-11,10125,21,9.21,2
2011-01-12,10125,7,5.670000000000001,2
2011-01-13,10125,3,2.37,2
2011-01-14,10125,5,3.95,1
2011-01-17,10125,5,3.95,3
2011-01-18,10125,2,1.58,2
2011-01-19,10125,20,8.4,1
2011-01-20,10125,4,3.16,2
2011-01-21,10125,5,3.95,2
2011-03-03,10125,1,1.63,1
2011-03-04,10125,22,18.7,2
2011-03-22,10125,1,1.63,1
2011-03-24,10125,20,17.0,1
2011-03-25,10125,4,3.4,1
2011-03-28,10125,20,17.0,1
2011-03-30,10125,5,4.25,2
2011-03-31,10125,41,34.85,2
2011-04-07,10125,21,17.85,2
2011-04-11,10125,20,17.0,1
2011-04-15,10125,20,17.0,1
2011-04-19,10125,20,17.0,1
2011-04-28,10125,1,0.85,1
2011-05-03,10125,1,0.85,1
2011-05-08,10125,4,3.4,2
2011-05-11,10125,100,85.0,1
2011-05-16,10125,1,0.85,1
2011-05-22,10125,1,0.85,1
2011-06-05,10125,1,0.85,1
2011-06-09,10125,12,10.2,1
2011-06-23,10125,2,3.26,1
2011-07-01,10125,4,3.4,1
2011-07-04,10125,21,17.85,2
2011-07-07,10125,1,1.63,1
2011-07-10,10125,5,4.25,1
2011-07-14,10125,25,21.25,2
2011-07-18,10125,120,102.0,2
2011-08-11,10125,40,34.0,1
2011-08-19,10125,20,17.0,1
2011-08-24,10125,25,21.25,2
2011-09-05,10125,20,17.0,1
2011-09-28,10125,40,34.0,2
2011-09-30,10125,150,127.5,1
2011-10-02,10125,7,5.95,1
2011-10-06,10125,3,2.55,1
2011-10-07,10125,1,1.63,1
2011-10-17,10125,20,17.0,1
2011-10-25,10125,20,17.0,1
2011-11-04,10125,2,1.7,1
2011-11-16,10125,60,51.0,1
2011-12-04,10125,6,5.1,1
2011-12-09,10125,20,17.0,1
2010-12-01,10133,5,4.25,1
2010-12-03,10133,1,1.66,1
2010-12-05,10133,14,11.9,3
2010-12-06,10133,2,1.7,1
2010-12-09,10133,12,10.2,2
2010-12-16,10133,50,25.3,3
2010-12-17,10133,20,8.4,1
2010-12-19,10133,10,8.5,1
2010-12-23,10133,16,13.36,2
2011-01-04,10133,1,0.81,1
2011-01-05,10133,1,0.81,1
2011-01-06,10133,1,0.81,1
2011-01-07,10133,8,6.48,2
2011-01-10,10133,27,14.07,3
2011-01-11,10133,3,2.43,1
2011-01-12,10133,11,8.91,2
2011-01-13,10133,4,3.16,1
2011-01-14,10133,22,17.380000000000003,1
2011-01-17,10133,14,11.06,2
2011-01-18,10133,16,12.64,2
2011-01-19,10133,20,8.4,1
2011-01-20,10133,2,1.58,1
2011-01-21,10133,40,16.8,1
2011-01-25,10133,10,8.5,1
2011-02-09,10133,10,8.5,1
2011-02-15,10133,10,8.5,1
2011-02-21,10133,4,3.4,1
2011-02-24,10133,10,8.5,1
2011-02-28,10133,5,5.81,2
2011-03-01,10133,30,25.5,2
2011-03-04,10133,21,17.85,2
2011-03-10,10133,2,1.7,1
2011-03-29,10133,30,25.5,2
2011-04-04,10133,1,1.63,1
2011-04-15,10133,70,59.5,1
2011-04-18,10133,5,4.25,1
2011-05-04,10133,10,8.5,1
2011-05-06,10133,1,0.85,1
2011-05-13,10133,20,17.0,1
2011-05-22,10133,2,1.7,1
2011-06-01,10133,1,1.63,1
2011-06-02,10133,10,8.5,1
2011-06-05,10133,10,4.2,1
2011-06-07,10133,103,43.67,7
2011-06-08,10133,11,4.62,2
2011-06-09,10133,40,16.8,2
2011-06-12,10133,20,8.4,1
2011-06-13,10133,55,25.15,4
2011-06-14,10133,5,4.1499999999999995,1
2011-06-15,10133,14,5.88,2
2011-06-16,10133,46,21.78,3
2011-06-19,10133,12,5.04,1
2011-06-20,10133,20,17.0,1
2011-06-21,10133,53,23.9,3
2011-06-22,10133,22,9.24,2
2011-06-23,10133,4,3.32,2
2011-06-24,10133,21,8.82,2
2011-06-26,10133,2,0.84,1
2011-06-28,10133,24,10.08,2
2011-06-29,10133,15,12.45,1
2011-06-30,10133,37,30.709999999999997,1
2011-07-01,10133,34,14.280000000000001,3
2011-07-04,10133,47,22.61,4
2011-07-05,10133,3,2.4899999999999998,2
2011-07-06,10133,43,19.29,2
2011-07-07,10133,60,31.759999999999998,5
2011-07-08,10133,33,26.57,2
2011-07-10,10133,16,6.720000000000001,2
2011-07-11,10133,43,18.47,4
2011-07-12,10133,69,32.67,3
2011-07-13,10133,29,14.23,3
2011-07-14,10133,48,21.39,3
2011-07-15,10133,6,4.9799999999999995,1
2011-07-17,10133,20,8.4,1
2011-07-18,10133,3,2.4899999999999998,1
2011-07-20,10133,10,8.299999999999999,1
2011-07-21,10133,80,33.6,3
2011-07-22,10133,26,21.58,1
2011-07-24,10133,100,42.0,1
2011-07-25,10133,38,31.539999999999996,2
2011-07-26,10133,24,11.72,2
2011-07-27,10133,27,11.34,2
2011-07-28,10133,30,12.600000000000001,2
2011-07-29,10133,1,0.83,1
2011-07-31,10133,40,16.8,2
2011-08-01,10133,15,12.45,1
2011-08-02,10133,1,0.83,1
2011-08-03,10133,43,19.29,2
2011-08-04,10133,61,26.029999999999998,3
2011-08-07,10133,50,21.0,1
2011-08-08,10133,2,1.66,1
2011-08-11,10133,20,8.4,1
2011-08-12,10133,70,58.099999999999994,1
2011-08-15,10133,43,18.060000000000002,3
2011-08-16,10133,20,8.4,1
2011-08-17,10133,2,0.84,1
2011-08-18,10133,60,25.200000000000003,2
2011-08-19,10133,80,33.6,1
2011-08-21,10133,40,16.8,1
2011-08-22,10133,10,4.2,1
2011-08-23,10133,5,2.1,1
2011-08-24,10133,140,58.8,2
2011-08-25,10133,40,16.8,2
2011-08-26,10133,20,8.4,1
2011-08-30,10133,30,24.9,9
2011-08-31,10133,1,0.83,1
2011-09-01,10133,163,68.46,3
2011-09-02,10133,14,11.209999999999999,4
2011-09-05,10133,10,4.2,1
2011-09-07,10133,20,8.4,1
2010-12-01,10135,1,2.51,1
2010-12-02,10135,10,12.5,1
2010-12-03,10135,1,2.51,1
2010-12-05,10135,11,13.75,2
2010-12-07,10135,8,20.08,2
2010-12-08,10135,3,7.529999999999999,1
2010-12-09,10135,11,15.01,2
2010-12-10,10135,6,8.76,3
2010-12-13,10135,41,19.310000000000002,2
2010-12-14,10135,20,8.4,1
2010-12-15,10135,40,16.8,2
2010-12-16,10135,200,84.0,5
2010-12-17,10135,5,12.549999999999999,3
2010-12-20,10135,21,10.91,2
2010-12-21,10135,2,5.02,1
2010-12-23,10135,31,39.379999999999995,2
2011-01-04,10135,28,35.84,1
2011-01-05,10135,69,36.72,6
2011-01-06,10135,46,24.48,2
2011-01-07,10135,42,36.56,3
2011-01-09,10135,40,16.8,1
2011-01-10,10135,26,33.28,3
2011-01-11,10135,68,35.44,3
2011-01-12,10135,12,15.360000000000001,2
2011-01-13,10135,6,7.5,2
2011-01-14,10135,4,5.0,1
2011-01-17,10135,37,46.25,4
2011-01-18,10135,9,11.25,2
2011-01-19,10135,31,22.15,3
2011-01-20,10135,56,70.0,3
2011-01-21,10135,127,75.75,4
2011-01-27,10135,2,2.5,1
2011-01-30,10135,10,12.5,1
2011-02-01,10135,1,2.46,1
2011-02-09,10135,1,2.46,1
2011-02-14,10135,20,8.4,1
2011-02-15,10135,10,12.5,1
2011-02-16,10135,21,27.46,3
2011-02-21,10135,10,12.5,1
2011-02-22,10135,1,2.46,1
2011-02-23,10135,5,12.3,1
2011-02-25,10135,200,212.0,1
2011-02-28,10135,3,3.75,1
2011-03-01,10135,10,12.5,1
2011-03-03,10135,10,12.5,1
2011-03-04,10135,1,1.25,1
2011-03-10,10135,2,2.5,1
2011-03-14,10135,60,25.2,1
2011-03-15,10135,12,15.0,1
2011-03-20,10135,20,25.0,1
2011-03-27,10135,2,2.5,1
2011-03-31,10135,1,2.46,1
2011-04-01,10135,14,17.5,2
2011-04-03,10135,3,3.75,1
2011-04-12,10135,10,12.5,1
2011-04-18,10135,3,3.75,1
2011-05-06,10135,5,12.3,1
2011-05-17,10135,6,7.5,1
2011-05-22,10135,2,2.5,1
2011-06-01,10135,1,1.25,1
2011-06-02,10135,10,12.5,1
2011-06-09,10135,10,12.5,1
2011-06-15,10135,1,1.25,1
2011-06-16,10135,10,12.5,1
2011-06-20,10135,20,25.0,1
2011-06-22,10135,1,1.25,1
2011-06-26,10135,2,2.5,1
2011-07-03,10135,100,125.0,1
2011-07-07,10135,6,7.5,1
2011-07-10,10135,6,7.5,1
2011-07-12,10135,30,37.5,1
2011-07-13,10135,4,5.0,1
2011-07-14,10135,1,1.25,1
2011-07-17,10135,10,12.5,1
2011-07-22,10135,10,12.5,1
2011-07-31,10135,10,12.5,1
2011-08-03,10135,1,1.25,1
2011-08-07,10135,100,106.0,1
2011-08-18,10135,40,50.0,1
2011-08-26,10135,10,12.5,1
2011-09-02,10135,10,12.5,1
2011-09-09,10135,10,12.5,1
2011-09-12,10135,10,12.5,1
2011-09-13,10135,1,2.46,1
2011-09-15,10135,9,11.25,1
2011-09-21,10135,5,12.3,1
2011-09-22,10135,20,25.0,2
2011-09-26,10135,3,7.38,1
2011-09-28,10135,2,3.71,2
2011-10-03,10135,5,12.3,1
2011-10-10,10135,3,7.38,1
2011-10-12,10135,1,2.46,1
2011-10-13,10135,1,1.25,1
2011-10-17,10135,1,2.46,1
2011-10-19,10135,20,25.0,1
2011-10-24,10135,2,2.5,1
2011-10-25,10135,21,26.25,3
2011-10-27,10135,10,12.5,1
2011-10-31,10135,5,9.879999999999999,2
2011-11-02,10135,1,2.46,1
2011-11-03,10135,1,1.25,1
2011-11-04,10135,36,9.0,1
2011-11-06,10135,4,5.0,1
2011-11-08,10135,20,25.0,1
2011-11-10,10135,13,19.88,2
2011-11-11,10135,3,7.38,2
2011-11-14,10135,34,59.44,2
2011-11-16,10135,1,2.46,1
2011-11-22,10135,17,12.46,4
2011-11-23,10135,3,7.38,1
2011-11-25,10135,10,12.5,1
2011-11-27,10135,7,8.75,1
2011-11-28,10135,11,27.06,1
2011-11-29,10135,10,12.5,1
2011-11-30,10135,10,12.5,1
2011-12-01,10135,30,37.5,2
2011-12-05,10135,28,44.68,2
2011-12-07,10135,10,12.5,1
2011-12-08,10135,1,2.46,1
2010-12-01,11001,3,10.08,1
2010-12-05,11001,16,27.04,1
2010-12-06,11001,1,3.36,1
2010-12-08,11001,32,54.08,2
2010-12-09,11001,1,1.69,1
2010-12-10,11001,1,3.36,1
2010-12-16,11001,1,1.69,1
2010-12-17,11001,18,33.76,2
2010-12-20,11001,1,3.36,1
2011-01-09,11001,32,54.08,2
2011-01-10,11001,1,3.36,1
2011-02-09,11001,10,32.9,1
2011-02-15,11001,16,27.04,1
2011-03-09,11001,1,3.29,1
2011-03-20,11001,2,6.58,1
2011-03-25,11001,1,1.69,1
2011-03-28,11001,16,27.04,1
2011-03-29,11001,32,54.08,1
2011-04-03,11001,16,27.04,1
2011-04-08,11001,3,5.07,1
2011-04-11,11001,1,1.69,1
2011-04-20,11001,16,27.04,1
2011-05-05,11001,32,54.08,1
2011-05-12,11001,16,27.04,1
2011-05-23,11001,16,27.04,1
2011-05-27,11001,32,54.08,2
2011-06-03,11001,16,27.04,1
2011-06-13,11001,16,27.04,1
2011-06-14,11001,1,1.69,1
2011-06-15,11001,16,27.04,1
2011-06-17,11001,2,3.38,1
2011-06-22,11001,16,27.04,1
2011-06-24,11001,32,54.08,1
2011-06-29,11001,87,72.21,1
2011-06-30,11001,15,12.45,1
2011-07-01,11001,16,27.04,1
2011-07-04,11001,31,25.729999999999997,3
2011-07-05,11001,15,12.45,3
2011-07-06,11001,33,27.39,2
2011-07-07,11001,15,12.45,2
2011-07-08,11001,17,14.11,1
2011-07-11,11001,11,12.57,2
2011-07-12,11001,9,7.469999999999999,2
2011-07-13,11001,2,1.66,1
2011-07-14,11001,5,8.45,1
2011-07-15,11001,10,8.299999999999999,1
2011-07-18,11001,8,6.64,2
2011-07-20,11001,22,18.259999999999998,2
2011-07-22,11001,26,35.339999999999996,2
2011-07-28,11001,16,27.04,1
2011-08-04,11001,384,487.68,1
2011-08-05,11001,1,3.29,1
2011-08-11,11001,80,101.6,1
2011-08-17,11001,2,3.38,1
2011-08-25,11001,16,27.04,1
2011-08-28,11001,16,27.04,1
2011-09-02,11001,32,54.08,2
2011-09-04,11001,16,27.04,1
2011-09-11,11001,5,8.45,1
2011-09-15,11001,7,11.83,1
2011-09-19,11001,1,1.69,1
2011-09-21,11001,3,9.870000000000001,2
2011-09-22,11001,16,27.04,1
2011-09-27,11001,16,27.04,1
2011-10-03,11001,6,19.740000000000002,1
2011-10-04,11001,16,27.04,1
2011-10-06,11001,19,32.11,2
2011-10-10,11001,2,6.58,1
2011-10-11,11001,48,81.12,2
2011-10-12,11001,2,6.58,1
2011-10-17,11001,3,9.870000000000001,1
2011-10-19,11001,16,27.04,1
2011-10-30,11001,1,1.69,1
2011-10-31,11001,3,9.870000000000001,2
2011-11-02,11001,16,27.04,1
2011-11-09,11001,32,54.08,1
2011-11-11,11001,2,4.98,2
2011-11-14,11001,2,6.58,1
2011-11-15,11001,2,3.38,1
2011-11-16,11001,4,13.16,1
2011-11-17,11001,16,27.04,1
2011-11-23,11001,16,27.04,1
2011-11-24,11001,18,33.62,2
2011-11-25,11001,17,30.33,2
2011-11-28,11001,3,9.870000000000001,1
2011-12-01,11001,1,1.69,1
2011-12-04,11001,16,27.04,1
2011-12-05,11001,4,13.16,2
2011-12-06,11001,1,3.29,1
2011-03-24,15030,5,1.45,1
2011-06-28,15030,10,2.9,1
2011-07-01,15030,4,1.16,1
2011-07-06,15030,20,5.8,1
2011-07-13,15030,5,1.45,1
2011-07-24,15030,60,17.4,1
2011-08-17,15030,2,0.58,1
2011-09-28,15030,3,0.8699999999999999,1
2011-10-30,15030,10,2.9,1
2011-11-09,15030,12,3.4799999999999995,1
2011-11-10,15030,10,2.9,1
2011-12-06,15030,2,0.58,1
2010-12-05,15034,2,0.28,2
2010-12-07,15034,1,0.85,1
2010-12-08,15034,25,4.21,2
2010-12-09,15034,1,0.85,1
2010-12-13,15034,2,1.7,1
2010-12-14,15034,12,1.6800000000000002,1
2010-12-20,15034,2,1.7,1
2011-01-05,15034,1,0.85,1
2011-01-06,15034,168,23.520000000000003,1
2011-01-10,15034,2,1.7,1
2011-01-13,15034,3,2.4899999999999998,1
2011-01-17,15034,1,0.83,1
2011-01-19,15034,2,1.66,1
2011-02-04,15034,24,3.3600000000000003,1
2011-02-09,15034,6,4.9799999999999995,1
2011-02-11,15034,2,1.66,1
2011-02-24,15034,48,6.720000000000001,1
2011-03-01,15034,3,2.4899999999999998,1
2011-03-04,15034,36,5.040000000000001,2
2011-03-13,15034,12,1.6800000000000002,1
2011-03-18,15034,48,6.720000000000001,1
2011-03-27,15034,24,3.3600000000000003,1
2011-04-11,15034,24,3.3600000000000003,1
2011-04-18,15034,13,2.5100000000000002,2
2011-04-19,15034,60,8.4,3
2011-04-20,15034,12,1.6800000000000002,1
2011-04-26,15034,144,20.160000000000004,1
