StockCode,Total_Quantity,Total_Revenue,Average_Price,Transaction_Count
DOT,706,206248.77,292.13706798866855,706
22423,13851,174156.54,13.983936223218734,1988
23843,80995,168469.6,2.08,1
85123A,37641,104462.75,3.1178384376387043,2198
47566,18283,99445.23,5.797928193054738,1685
85099B,48371,94159.81,2.4861972498814606,2089
23166,78033,81700.92000000001,1.46848,247
POST,3150,78101.88,31.076580817051514,1126
M,6984,77750.27,234.48965189873417,289
23084,30739,66870.03,2.386401179941003,994
22086,19329,64875.590000000004,3.362331081081081,1160
84879,36362,58927.62,1.7225745257452574,1455
79321,10302,54096.36,6.7953973013493245,661
22502,1937,51408.770000000004,10.30233905579399,463
22197,56898,51334.47,1.0435543018335685,1392
23298,8466,43148.18,5.519121447028423,1146
22386,21448,42401.01,2.598733766233766,1218
23203,20485,42030.340000000004,2.275764895330113,1231
21137,11651,40633.38,4.215585106382979,375
23284,5487,38133.64,8.776284153005465,728
22720,7483,38108.89,5.83371408045977,1385
22960,8695,37082.13,5.077669902912621,1132
82484,6012,35966.92,8.440540145985402,685
20725,19432,35862.36,2.1314222503160556,1565
22178,24275,33146.82,1.6440249759846302,1037
22114,5740,32973.44,5.024473684210526,643
22910,10594,32843.840000000004,3.3676774969915764,820
22112,6017,32826.58,6.075206422018349,858
85099F,17237,32495.59,2.3821568627450977,812
22469,17963,32094.6,1.959712879409352,1201
23245,6345,31118.550000000003,5.883424657534246,873
21931,13651,30764.01,2.746616415410385,1184
22727,7800,30644.87,4.396880301602262,1051
23199,14908,30450.690000000002,2.5699290060851925,978
22470,9887,30098.11,3.2850427350427354,925
22355,18124,29254.149999999998,1.2166067415730337,882
22699,9864,29056.920000000002,3.661425908667288,1065
23355,5816,28718.800000000003,5.271557788944723,782
22411,12574,28577.1,2.689254237288136,1175
20685,4088,28049.54,8.953529411764706,696
85099C,13900,28047.74,2.605185577942736,933
22457,9119,27991.61,3.59003187250996,1249
23201,13366,27850.83,2.3900109769484086,906
22726,6419,27155.28,4.54201213346815,980
21175,12207,27029.97,2.7694334975369457,809
84347,9461,26425.579999999998,3.415258620689655,449
21915,21903,26294.08,1.4255722891566265,661
22666,8269,26219.95,3.7048793565683646,1111
84946,19209,25843.38,1.5308881578947369,905
22629,14249,25719.02,2.193337016574586,900
22961,16396,25637.78,1.9049140893470793,1162
48138,3751,25534.15,8.891294498381876,616
21181,12274,25225.480000000003,2.426067677946324,845
23173,2766,24879.13,11.119714964370546,416
21621,2787,24525.83,9.4460206185567,475
22111,4655,24455.39,5.805300896286813,771
22722,5966,24436.260000000002,4.676517119244393,834
22326,8535,24364.870000000003,3.4687721691678037,732
22138,4937,24185.27,5.353144989339019,934
48187,3807,24108.39,8.464717607973423,600
21731,14001,23919.78,2.3904327485380117,849
48185,3615,23872.91,10.12136612021858,365
23344,10285,23772.07,2.4177423822714683,716
23243,4800,23489.420000000002,5.866072186836518,470
22189,8284,23435.82,4.4527186311787075,524
21733,7872,23199.24,3.160996015936255,741
21929,11006,23179.06,2.678348623853211,865
82482,8986,23057.06,3.1030650994575044,1100
20713,11429,23001.06,2.7772809667673717,657
21623,3269,22980.239999999998,10.374389140271493,221
22139,4518,22868.260000000002,5.730788381742739,962
22090,7562,22785.06,3.7798004987531173,798
22697,7278,22755.5,3.835362035225049,1013
85066,1784,22594.2,14.308129770992366,519
22383,12518,22486.34,2.168208269525268,1284
20727,12195,22346.96,2.1077863182167564,1273
15056N,3950,22152.690000000002,6.94886462882096,456
48194,3416,22114.42,9.247993254637437,592
20712,9773,22092.42,2.9266168009205984,863
84029E,4734,22025.73,5.128721461187215,429
23202,10941,21810.43,2.2962302483069976,879
20724,17761,21773.39,1.1461973180076628,1032
20728,11786,21699.48,2.063580034423408,1150
22630,11780,21609.789999999997,2.3315268065268064,850
21523,3245,21593.74,9.514820717131473,502
23209,13170,21418.82,1.8247576301615798,1098
21843,2012,21354.3,12.607560073937153,539
21212,36396,21246.45,0.7612056213017753,1320
21928,10468,21144.41,2.697144622991347,806
21166,10324,20874.440000000002,2.3886126373626375,723
23206,12147,20852.579999999998,2.0589553656220323,1036
22659,11504,20781.649999999998,2.3154016620498616,707
22728,5356,20672.15,4.579835651074589,783
71477,6748,20650.66,4.023260188087774,316
21479,3915,20582.2,4.986313725490196,499
84997D,5103,19728.2,4.4071428571428575,473
82494L,6735,19599.49,3.2622028353326065,910
22501,1602,19302.26,14.401595505617978,445
22328,6835,19094.97,3.275880341880342,581
22467,7926,18798.670000000002,2.8794049346879533,681
22969,12520,18771.149999999998,1.7925077399380807,646
15036,23826,18569.84,1.0677649325626204,518
20914,6361,18357.75,3.2885442329227326,880
82486,2136,18343.92,9.12376026272578,605
20726,9909,18283.78,2.1818446601941743,1017
21108,10241,18056.280000000002,2.3184790874524714,262
22382,10427,18031.31,2.0130927835051544,1157
22693,16244,17927.45,1.4859344262295082,305
22835,3441,17892.96,5.887280966767372,657
22865,8439,17786.13,2.359009009009009,654
21485,3524,17663.98,5.63684375,623
22698,5788,17445.56,3.708229166666667,765
22384,10487,17388.99,2.031925522252498,1090
22077,9172,17186.62,2.211237113402062,955
22385,8666,17071.59,2.6552167630057806,686
23240,4177,17000.170000000002,4.445494505494506,536
82583,7258,16946.260000000002,2.955829307568438,609
22492,26633,16937.82,0.7850263157894737,380
21754,2759,16923.47,6.629308578745198,777
20719,13290,16744.45,1.2108571428571429,833
22993,12649,16478.48,1.497788990825688,1073
84978,12493,16453.78,1.4836289222373806,728
22624,1883,16378.710000000001,9.46253164556962,711
84078A,415,16363.300000000001,45.23225806451613,155
23301,8807,16327.349999999999,1.9439673913043478,913
21232,11842,16248.800000000001,1.676267942583732,831
84029G,3319,16148.04,5.203712446351931,459
84997B,4214,16045.970000000001,4.370267379679144,370
85152,8246,15928.730000000001,2.3584683357879235,677
15056BL,2844,15828.84,6.430311526479751,321
23313,2990,15798.66,5.548627450980392,401
22379,6896,15607.59,3.1890400000000003,748
82483,2386,15123.92,6.952326007326008,543
22084,5181,15099.37,3.2728442437923255,436
22900,4907,14938.43,3.734585635359116,533
84997C,3783,14497.03,4.257492537313433,335
22752,1787,14427.970000000001,9.79502617801047,380
22847,905,14389.34,17.408590425531916,376
22866,6611,14366.52,2.3365124555160146,548
48184,2035,14300.15,8.640073710073711,407
22507,2960,14193.35,6.295599128540305,459
23200,7067,14188.960000000001,2.4302508361204014,595
22625,1620,14082.2,9.793315018315017,546
22867,6433,14061.890000000001,2.401336898395722,554
22083,4616,14051.640000000001,3.7658756137479545,610
21930,6438,14006.2,2.7869887955182073,705
23343,6078,13972.710000000001,2.417366255144033,476
22622,1342,13931.31,12.382434456928838,267
20971,10993,13828.1,1.4207224334600759,522
84077,54951,13814.009999999998,0.3207276119402985,535
22941,1670,13795.92,9.962893890675241,311
AMAZONFEE,2,13761.09,6880.545,2
23077,10395,13695.77,1.345436046511628,344
22171,1794,13611.81,10.020785340314136,382
22551,8074,13602.109999999999,1.864023494860499,673
21524,1752,13572.06,9.204553014553015,480
23356,2359,13334.320000000002,6.205617283950618,476
22554,7803,13328.269999999999,1.9113445378151261,704
22558,8676,13325.869999999999,1.8339870967741934,772
23207,7830,13325.55,1.9909656084656082,740
23108,2219,13290.519999999999,6.469919571045577,372
23328,2841,13269.49,4.845672371638142,405
22776,1244,13078.779999999999,11.44487895716946,536
82600,6013,12833.18,2.5495810564663026,545
22499,2091,12792.25,6.789317073170731,407
22113,3220,12763.08,4.404398625429553,561
22427,2106,12647.26,6.567013752455796,506
20750,1747,12634.98,8.121839378238343,385
20749,1762,12550.57,8.065298701298701,383
